LandisData  EcoregionParameters
EcoregionParameters PrecLossFrac climateFileName SoilType RootingDepth LeakageFrac SnowSublimFrac
eco26  0.42     Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/2_june_2016_cr_HADGErcp85_climate.txt LOAM 1000 1 0.15
eco27  0.44     Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/2_june_2016_cr_HADGErcp85_climate.txt SAND 1000 1 0.15
eco31  0.58     Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/3_june_2016_cr_HADGErcp85_climate.txt SILO 1000 1 0.15
eco32  0.34     Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/3_june_2016_cr_HADGErcp85_climate.txt SALO 1000 1 0.15
eco33  0.35     Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/3_june_2016_cr_HADGErcp85_climate.txt LOSA 1000 1 0.15
eco34  0.53     Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/3_june_2016_cr_HADGErcp85_climate.txt CLAY 1000 1 0.15
eco35  0.87     Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/3_june_2016_cr_HADGErcp85_climate.txt SILT 1000 1 0.15
eco36  0.42     Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/3_june_2016_cr_HADGErcp85_climate.txt LOAM 1000 1 0.15
eco37  0.44     Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/3_june_2016_cr_HADGErcp85_climate.txt SAND 1000 1 0.15
eco41  0.58     Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/4_june_2016_cr_HADGErcp85_climate.txt SILO 1000 1 0.15
eco42  0.34     Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/4_june_2016_cr_HADGErcp85_climate.txt SALO 1000 1 0.15
eco43  0.35     Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/4_june_2016_cr_HADGErcp85_climate.txt LOSA 1000 1 0.15
eco44  0.53     Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/4_june_2016_cr_HADGErcp85_climate.txt CLAY 1000 1 0.15
eco45  0.87     Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/4_june_2016_cr_HADGErcp85_climate.txt SILT 1000 1 0.15
eco46  0.42     Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/4_june_2016_cr_HADGErcp85_climate.txt LOAM 1000 1 0.15
eco47  0.44     Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/4_june_2016_cr_HADGErcp85_climate.txt SAND 1000 1 0.15
eco51  0.58     Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/5_june_2016_cr_HADGErcp85_climate.txt SILO 1000 1 0.15
eco52  0.34     Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/5_june_2016_cr_HADGErcp85_climate.txt SALO 1000 1 0.15
eco53  0.35     Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/5_june_2016_cr_HADGErcp85_climate.txt LOSA 1000 1 0.15
eco54  0.53     Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/5_june_2016_cr_HADGErcp85_climate.txt CLAY 1000 1 0.15
eco56  0.42     Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/5_june_2016_cr_HADGErcp85_climate.txt LOAM 1000 1 0.15
eco57  0.44     Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/5_june_2016_cr_HADGErcp85_climate.txt SAND 1000 1 0.15
eco61  0.58     Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/6_june_2016_cr_HADGErcp85_climate.txt SILO 1000 1 0.15
eco62  0.34     Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/6_june_2016_cr_HADGErcp85_climate.txt SALO 1000 1 0.15
eco63  0.35     Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/6_june_2016_cr_HADGErcp85_climate.txt LOSA 1000 1 0.15
eco64  0.53     Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/6_june_2016_cr_HADGErcp85_climate.txt CLAY 1000 1 0.15
eco65  0.87     Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/6_june_2016_cr_HADGErcp85_climate.txt SILT 1000 1 0.15
eco66  0.42     Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/6_june_2016_cr_HADGErcp85_climate.txt LOAM 1000 1 0.15
eco67  0.44     Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/6_june_2016_cr_HADGErcp85_climate.txt SAND 1000 1 0.15
eco71  0.58     Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/7_june_2016_cr_HADGErcp85_climate.txt SILO 1000 1 0.15
eco72  0.34     Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/7_june_2016_cr_HADGErcp85_climate.txt SALO 1000 1 0.15
eco73  0.35     Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/7_june_2016_cr_HADGErcp85_climate.txt LOSA 1000 1 0.15
eco74  0.53     Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/7_june_2016_cr_HADGErcp85_climate.txt CLAY 1000 1 0.15
eco75  0.87     Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/7_june_2016_cr_HADGErcp85_climate.txt SILT 1000 1 0.15
eco76  0.42     Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/7_june_2016_cr_HADGErcp85_climate.txt LOAM 1000 1 0.15
eco77  0.44     Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/7_june_2016_cr_HADGErcp85_climate.txt SAND 1000 1 0.15
eco81  0.58     Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/8_june_2016_cr_HADGErcp85_climate.txt SILO 1000 1 0.15
eco82  0.34     Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/8_june_2016_cr_HADGErcp85_climate.txt SALO 1000 1 0.15
eco83  0.35     Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/8_june_2016_cr_HADGErcp85_climate.txt LOSA 1000 1 0.15
eco84  0.53     Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/8_june_2016_cr_HADGErcp85_climate.txt CLAY 1000 1 0.15
eco85  0.87     Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/8_june_2016_cr_HADGErcp85_climate.txt SILT 1000 1 0.15
eco86  0.42     Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/8_june_2016_cr_HADGErcp85_climate.txt LOAM 1000 1 0.15
eco87  0.44     Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/8_june_2016_cr_HADGErcp85_climate.txt SAND 1000 1 0.15
eco91  0.58     Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/9_june_2016_cr_HADGErcp85_climate.txt SILO 1000 1 0.15
eco92  0.34     Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/9_june_2016_cr_HADGErcp85_climate.txt SALO 1000 1 0.15
eco93  0.35     Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/9_june_2016_cr_HADGErcp85_climate.txt LOSA 1000 1 0.15
eco94  0.53     Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/9_june_2016_cr_HADGErcp85_climate.txt CLAY 1000 1 0.15
eco95  0.87     Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/9_june_2016_cr_HADGErcp85_climate.txt SILT 1000 1 0.15
eco96  0.42     Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/9_june_2016_cr_HADGErcp85_climate.txt LOAM 1000 1 0.15
eco97  0.44     Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/9_june_2016_cr_HADGErcp85_climate.txt SAND 1000 1 0.15
eco101 0.58      Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/10_june_2016_cr_HADGErcp85_climate.txt SILO 1000 1 0.15
eco102 0.34      Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/10_june_2016_cr_HADGErcp85_climate.txt SALO 1000 1 0.15
eco103 0.35      Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/10_june_2016_cr_HADGErcp85_climate.txt LOSA 1000 1 0.15
eco104 0.53      Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/10_june_2016_cr_HADGErcp85_climate.txt CLAY 1000 1 0.15
eco106 0.42      Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/10_june_2016_cr_HADGErcp85_climate.txt LOAM 1000 1 0.15
eco107 0.44      Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/10_june_2016_cr_HADGErcp85_climate.txt SAND 1000 1 0.15
eco109 0.50      Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/10_june_2016_cr_HADGErcp85_climate.txt SICL 1000 1 0.15
eco111 0.58      Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/11_june_2016_cr_HADGErcp85_climate.txt SILO 1000 1 0.15
eco112 0.34      Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/11_june_2016_cr_HADGErcp85_climate.txt SALO 1000 1 0.15
eco113 0.35      Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/11_june_2016_cr_HADGErcp85_climate.txt LOSA 1000 1 0.15
eco114 0.53      Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/11_june_2016_cr_HADGErcp85_climate.txt CLAY 1000 1 0.15
eco116 0.42      Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/11_june_2016_cr_HADGErcp85_climate.txt LOAM 1000 1 0.15
eco117 0.44      Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/11_june_2016_cr_HADGErcp85_climate.txt SAND 1000 1 0.15
eco119 0.50      Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/11_june_2016_cr_HADGErcp85_climate.txt SICL 1000 1 0.15
eco121 0.58      Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/12_june_2016_cr_HADGErcp85_climate.txt SILO 1000 1 0.15
eco122 0.34      Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/12_june_2016_cr_HADGErcp85_climate.txt SALO 1000 1 0.15
eco123 0.35      Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/12_june_2016_cr_HADGErcp85_climate.txt LOSA 1000 1 0.15
eco124 0.53      Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/12_june_2016_cr_HADGErcp85_climate.txt CLAY 1000 1 0.15
eco126 0.42      Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/12_june_2016_cr_HADGErcp85_climate.txt LOAM 1000 1 0.15
eco127 0.44      Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/12_june_2016_cr_HADGErcp85_climate.txt SAND 1000 1 0.15
eco129 0.50      Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/12_june_2016_cr_HADGErcp85_climate.txt SICL 1000 1 0.15
eco131 0.58      Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/13_june_2016_cr_HADGErcp85_climate.txt SILO 1000 1 0.15
eco132 0.34      Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/13_june_2016_cr_HADGErcp85_climate.txt SALO 1000 1 0.15
eco133 0.35      Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/13_june_2016_cr_HADGErcp85_climate.txt LOSA 1000 1 0.15
eco134 0.53      Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/13_june_2016_cr_HADGErcp85_climate.txt CLAY 1000 1 0.15
eco136 0.42      Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/13_june_2016_cr_HADGErcp85_climate.txt LOAM 1000 1 0.15
eco137 0.44      Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/13_june_2016_cr_HADGErcp85_climate.txt SAND 1000 1 0.15
eco139 0.50      Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/13_june_2016_cr_HADGErcp85_climate.txt SICL 1000 1 0.15
eco141 0.58      Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/14_june_2016_cr_HADGErcp85_climate.txt SILO 1000 1 0.15
eco142 0.34      Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/14_june_2016_cr_HADGErcp85_climate.txt SALO 1000 1 0.15
eco143 0.35      Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/14_june_2016_cr_HADGErcp85_climate.txt LOSA 1000 1 0.15
eco144 0.53      Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/14_june_2016_cr_HADGErcp85_climate.txt CLAY 1000 1 0.15
eco146 0.42      Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/14_june_2016_cr_HADGErcp85_climate.txt LOAM 1000 1 0.15
eco147 0.44      Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/14_june_2016_cr_HADGErcp85_climate.txt SAND 1000 1 0.15
eco148 0.62      Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/14_june_2016_cr_HADGErcp85_climate.txt SLCL 1000 1 0.15
eco149 0.50      Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/14_june_2016_cr_HADGErcp85_climate.txt SICL 1000 1 0.15
eco151 0.58      Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/15_june_2016_cr_HADGErcp85_climate.txt SILO 1000 1 0.15
eco152 0.34      Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/15_june_2016_cr_HADGErcp85_climate.txt SALO 1000 1 0.15
eco153 0.35      Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/15_june_2016_cr_HADGErcp85_climate.txt LOSA 1000 1 0.15
eco154 0.53      Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/15_june_2016_cr_HADGErcp85_climate.txt CLAY 1000 1 0.15
eco156 0.42      Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/15_june_2016_cr_HADGErcp85_climate.txt LOAM 1000 1 0.15
eco157 0.44      Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/15_june_2016_cr_HADGErcp85_climate.txt SAND 1000 1 0.15
eco158 0.62      Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/15_june_2016_cr_HADGErcp85_climate.txt SLCL 1000 1 0.15
eco159 0.50      Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/15_june_2016_cr_HADGErcp85_climate.txt SICL 1000 1 0.15
eco161 0.58      Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/16_june_2016_cr_HADGErcp85_climate.txt SILO 1000 1 0.15
eco162 0.34      Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/16_june_2016_cr_HADGErcp85_climate.txt SALO 1000 1 0.15
eco163 0.35      Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/16_june_2016_cr_HADGErcp85_climate.txt LOSA 1000 1 0.15
eco164 0.53      Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/16_june_2016_cr_HADGErcp85_climate.txt CLAY 1000 1 0.15
eco166 0.42      Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/16_june_2016_cr_HADGErcp85_climate.txt LOAM 1000 1 0.15
eco167 0.44      Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/16_june_2016_cr_HADGErcp85_climate.txt SAND 1000 1 0.15
eco168 0.62      Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/16_june_2016_cr_HADGErcp85_climate.txt SLCL 1000 1 0.15
eco169 0.50      Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/16_june_2016_cr_HADGErcp85_climate.txt SICL 1000 1 0.15
eco171 0.58      Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/17_june_2016_cr_HADGErcp85_climate.txt SILO 1000 1 0.15
eco172 0.34      Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/17_june_2016_cr_HADGErcp85_climate.txt SALO 1000 1 0.15
eco173 0.35      Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/17_june_2016_cr_HADGErcp85_climate.txt LOSA 1000 1 0.15
eco174 0.53      Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/17_june_2016_cr_HADGErcp85_climate.txt CLAY 1000 1 0.15
eco176 0.42      Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/17_june_2016_cr_HADGErcp85_climate.txt LOAM 1000 1 0.15
eco177 0.44      Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/17_june_2016_cr_HADGErcp85_climate.txt SAND 1000 1 0.15
eco178 0.62      Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/17_june_2016_cr_HADGErcp85_climate.txt SLCL 1000 1 0.15
eco179 0.50      Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/17_june_2016_cr_HADGErcp85_climate.txt SICL 1000 1 0.15
eco181 0.58      Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/18_june_2016_cr_HADGErcp85_climate.txt SILO 1000 1 0.15
eco182 0.34      Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/18_june_2016_cr_HADGErcp85_climate.txt SALO 1000 1 0.15
eco183 0.35      Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/18_june_2016_cr_HADGErcp85_climate.txt LOSA 1000 1 0.15
eco184 0.53      Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/18_june_2016_cr_HADGErcp85_climate.txt CLAY 1000 1 0.15
eco186 0.42      Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/18_june_2016_cr_HADGErcp85_climate.txt LOAM 1000 1 0.15
eco187 0.44      Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/18_june_2016_cr_HADGErcp85_climate.txt SAND 1000 1 0.15
eco188 0.62      Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/18_june_2016_cr_HADGErcp85_climate.txt SLCL 1000 1 0.15
eco189 0.50      Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/18_june_2016_cr_HADGErcp85_climate.txt SICL 1000 1 0.15
eco191 0.58      Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/19_june_2016_cr_HADGErcp85_climate.txt SILO 1000 1 0.15
eco192 0.34      Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/19_june_2016_cr_HADGErcp85_climate.txt SALO 1000 1 0.15
eco193 0.35      Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/19_june_2016_cr_HADGErcp85_climate.txt LOSA 1000 1 0.15
eco194 0.53      Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/19_june_2016_cr_HADGErcp85_climate.txt CLAY 1000 1 0.15
eco196 0.42      Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/19_june_2016_cr_HADGErcp85_climate.txt LOAM 1000 1 0.15
eco197 0.44      Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/19_june_2016_cr_HADGErcp85_climate.txt SAND 1000 1 0.15
eco198 0.62      Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/19_june_2016_cr_HADGErcp85_climate.txt SLCL 1000 1 0.15
eco199 0.50      Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/19_june_2016_cr_HADGErcp85_climate.txt SICL 1000 1 0.15
eco201 0.58      Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/20_june_2016_cr_HADGErcp85_climate.txt SILO 1000 1 0.15
eco202 0.34      Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/20_june_2016_cr_HADGErcp85_climate.txt SALO 1000 1 0.15
eco203 0.35      Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/20_june_2016_cr_HADGErcp85_climate.txt LOSA 1000 1 0.15
eco204 0.53      Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/20_june_2016_cr_HADGErcp85_climate.txt CLAY 1000 1 0.15
eco206 0.42      Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/20_june_2016_cr_HADGErcp85_climate.txt LOAM 1000 1 0.15
eco207 0.44      Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/20_june_2016_cr_HADGErcp85_climate.txt SAND 1000 1 0.15
eco208 0.62      Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/20_june_2016_cr_HADGErcp85_climate.txt SLCL 1000 1 0.15
eco209 0.50      Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/20_june_2016_cr_HADGErcp85_climate.txt SICL 1000 1 0.15
eco211 0.58      Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/21_june_2016_cr_HADGErcp85_climate.txt SILO 1000 1 0.15
eco212 0.34      Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/21_june_2016_cr_HADGErcp85_climate.txt SALO 1000 1 0.15
eco213 0.35      Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/21_june_2016_cr_HADGErcp85_climate.txt LOSA 1000 1 0.15
eco214 0.53      Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/21_june_2016_cr_HADGErcp85_climate.txt CLAY 1000 1 0.15
eco216 0.42      Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/21_june_2016_cr_HADGErcp85_climate.txt LOAM 1000 1 0.15
eco217 0.44      Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/21_june_2016_cr_HADGErcp85_climate.txt SAND 1000 1 0.15
eco218 0.62      Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/21_june_2016_cr_HADGErcp85_climate.txt SLCL 1000 1 0.15
eco219 0.50      Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/21_june_2016_cr_HADGErcp85_climate.txt SICL 1000 1 0.15
eco221 0.58      Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/22_june_2016_cr_HADGErcp85_climate.txt SILO 1000 1 0.15
eco222 0.34      Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/22_june_2016_cr_HADGErcp85_climate.txt SALO 1000 1 0.15
eco223 0.35      Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/22_june_2016_cr_HADGErcp85_climate.txt LOSA 1000 1 0.15
eco224 0.53      Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/22_june_2016_cr_HADGErcp85_climate.txt CLAY 1000 1 0.15
eco226 0.42      Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/22_june_2016_cr_HADGErcp85_climate.txt LOAM 1000 1 0.15
eco227 0.44      Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/22_june_2016_cr_HADGErcp85_climate.txt SAND 1000 1 0.15
